Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,CR2032_battery,42.50005,-28.0,90.0,top
C1,100nF,C_0603_1608Metric,74.0,-67.0,180.0,top
C10,100nF,C_0603_1608Metric,93.25,-34.675,90.0,top
C11,100nF,C_0603_1608Metric,90.25,-30.675,180.0,top
C12,100nF,C_0402_1005Metric,84.5,-79.0,-90.0,top
C13,100nF,C_0603_1608Metric,79.575,-24.175,180.0,top
C14,100nF,C_0603_1608Metric,82.75,-30.175,0.0,top
C15,1uF,C_0603_1608Metric,76.25,-28.675,90.0,top
C16,220uF,CP_Elec_6.3x7.7,31.5,-52.5,0.0,top
C17,10uF,CP_EIA-3216-18_Kemet-A,29.0,-46.625,180.0,top
C18,10uF,CP_EIA-3216-18_Kemet-A,29.0,-36.125,0.0,top
C19,1uF,C_0603_1608Metric,54.5,-61.5,90.0,top
C2,100nF,C_0402_1005Metric,61.0,-52.5,-90.0,top
C21,100nF,C_0402_1005Metric,64.0,-62.0,-90.0,top
C3,10uF,CP_EIA-3216-18_Kemet-A,72.0,-43.0,90.0,top
C4,680uF,CP_Elec_12.5x13.5,24.0,-79.0,180.0,top
C5,30pF,C_0603_1608Metric,88.25,-27.675,180.0,top
C6,30pF,C_0603_1608Metric,85.25,-27.675,0.0,top
C7,100nF,C_0603_1608Metric,77.25,-35.175,-90.0,top
C8,100nF,C_0603_1608Metric,77.25,-41.675,-90.0,top
C9,100nF,C_0603_1608Metric,89.0,-46.5,0.0,top
D1,LED,LED_0805_2012Metric,22.0,-54.5,-90.0,top
D2,D,D_SMB,36.5,-79.0,0.0,top
D3,LED,LED_0805_2012Metric,22.0,-46.0625,-90.0,top
D4,LED,LED_0805_2012Metric,22.0,-50.5625,-90.0,top
D5,SS14,D_SMA,54.0,-68.0,0.0,top
D6,1N4148W,D_SOD-123,62.5,-20.0,0.0,top
D7,SS34,D_SMA,37.5,-72.0,180.0,top
J1,Conn_01x03,"PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",66.56172,-87.229145,0.0,top
J2,Conn_01x02,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",39.995,-87.2225,0.0,top
J3,Conn_01x03,"PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",84.995,-87.2225,0.0,top
J4,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,109.5,-31.96,0.0,top
J5,Conn_02x06,IDC-Header_2x06_P2.54mm_Vertical,81.27,-59.65,180.0,top
L1,33uH,L_Wuerth_HCM-1052,41.5,-63.0,90.0,top
Q1,AO3400A,SOT-23,51.0,-62.5,180.0,top
R1,330R,R_0603_1608Metric,19.775,-50.625,-90.0,top
R10,20k,R_0402_1005Metric,85.635,-78.0,-90.0,top
R11,10k,R_0402_1005Metric,84.5,-76.5,90.0,top
R12,100k,R_0603_1608Metric,50.0,-58.5,90.0,top
R13,100R,R_0603_1608Metric,52.0,-58.5,90.0,top
R14,10k,R_0402_1005Metric,83.135,-83.475,180.0,top
R15,10k,R_0402_1005Metric,79.135,-83.475,0.0,top
R16,100k,R_0603_1608Metric,60.5,-25.0,180.0,top
R17,100R,R_0603_1608Metric,20.0,-46.0,-90.0,top
R18,3.3k,R_0402_1005Metric,62.0,-27.5,180.0,top
R19,180R,R_0603_1608Metric,65.5,-55.5,90.0,top
R2,10k,R_0603_1608Metric,68.0,-28.5,0.0,top
R21,0.5R,R_2512_6332Metric,67.0,-68.0,0.0,top
R23,1.5M,R_0603_1608Metric,57.5,-36.0,90.0,top
R25,470k,R_0603_1608Metric,58.0,-32.5,-90.0,top
R26,200R,R_0603_1608Metric,64.5,-25.0,180.0,top
R3,10k,R_0402_1005Metric,77.635,-77.0,90.0,top
R4,1.2k,R_0603_1608Metric,19.5,-54.5,-90.0,top
R5,120R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,81.135,-82.0,0.0,top
R6,10k,R_0603_1608Metric,79.575,-25.675,0.0,top
R7,10k,R_0402_1005Metric,95.25,-35.675,90.0,top
R8,10k,R_0603_1608Metric,68.0,-30.5,180.0,top
R9,10k,R_0603_1608Metric,63.5,-44.5,0.0,top
RL1,JW2,Relay_DPDT_Panasonic_JW2,61.5625,-76.9375,0.0,top
U1,AT24C512C,SOP-8_3.76x4.96mm_P1.27mm,64.5,-49.5,0.0,top
U2,MAX485ESA+T,SOIC-8_3.9x4.9mm_P1.27mm,81.135,-77.0,180.0,top
U3,STM32F103RETx,LQFP-64_10x10mm_P0.5mm,85.25,-38.175,180.0,top
U4,DS1621,SOIC-8_3.9x4.9mm_P1.27mm,72.525,-62.5,270.0,top
U5,DS1307Z+,SOIC-8_3.9x4.9mm_P1.27mm,63.0,-33.0,0.0,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,28.5,-41.5,180.0,top
U7,LM2596S-5,TO-263-5_TabPin3,26.0,-64.0,180.0,top
U8,ACPL-P340,SO-6L_10x3.84mm_P1.27mm,59.0,-57.0,180.0,top
U9,INA226,VSSOP-10_3x3mm_P0.5mm,66.5,-62.0,180.0,top
Y1,32768Hz,Crystal_SMD_3215-2Pin_3.2x1.5mm,61.686079,-38.0,180.0,top
Y2,8MHz_Crystal,Crystal_SMD_5032-2Pin_5.0x3.2mm,86.75,-24.675,180.0,top
